;MAT;SALDO;CREDITO;DEBITO;PAGAR;BANCO
mar/26;3466;-23,175;4,016666667;7,183333333;2,008333333;-28,35
mar/26;3469;-8,791666667;2,65;6,85;1,325;-14,31666667
mar/26;3470;-13,775;0,266666667;10,2;0,133333333;-23,84166667
mar/26;3472;17,5;39,86666667;0;37,43333333;19,93333333
mar/26;3475;-11,5;0;19,16666667;0;-30,66666667
mar/26;3476;-14,225;0,716666667;4,666666667;0,358333333;-18,53333333
mar/26;3478;-1,683333333;0;2,2;0;-3,883333333
mar/26;3479;-0,491666667;6,766666667;4,933333333;3,383333333;-2,041666667
mar/26;3480;10,89166667;24,31666667;0;23,05;12,15833333
mar/26;3482;-0,433333333;0;0;0;-0,433333333
mar/26;3483;0;0;0,35;0;-0,35
mar/26;3484;-7,583333333;3,533333333;1,25;1,766666667;-7,066666667
mar/26;3485;-1,7;8,333333333;3,316666667;4,166666667;-0,85
mar/26;3489;0;0;0;0;0
mar/26;3491;-10,425;0,6;2,333333333;0,3;-12,45833333
mar/26;3492;0,541666667;1,883333333;0,183333333;1,3;0,941666667
mar/26;3493;4,991666667;11,7;0,416666667;10,425;5,85
mar/26;3494;-5,758333333;1,483333333;7,266666667;0,741666667;-12,28333333
mar/26;3495;-5,658333333;2,116666667;4,066666667;1,058333333;-8,666666667
mar/26;3497;10,05;12,35;0;16,225;6,175
mar/26;3500;-3,466666667;0;1,366666667;0;-4,833333333
mar/26;3502;6,308333333;14;4,116666667;9,191666667;7
mar/26;3504;3,408333333;10;0;8,408333333;5
mar/26;3506;0;14,56666667;17,08333333;7,283333333;-9,8
mar/26;3507;0;0,866666667;0,216666667;0,433333333;0,216666667
mar/26;3508;0;0;0,3;0;-0,3
mar/26;3509;0;1,4;1,333333333;0,7;-0,633333333
mar/26;3510;0;0,3;0,833333333;0,15;-0,683333333
mar/26;3511;0;0,3;0,883333333;0,15;-0,733333333
mar/26;3512;0;0,266666667;0,45;0,133333333;-0,316666667
mar/26;3513;0;0;0,8;0;-0,8
mar/26;3514;0;0,2;1,033333333;0,1;-0,933333333
abr/26;399;0;0;0;0;0
abr/26;409;0;0;0;0;0
abr/26;422;0;0;0;0;0
abr/26;657;0;0;0;0;0
abr/26;802;-6,133333333;1,716666667;0,6;0,858333333;-5,875
abr/26;1028;-6,258333333;1,4;0,666666667;0,7;-6,225
abr/26;1054;12,925;23;0;24,425;11,5
abr/26;1091;0;0;0;0;0
abr/26;1227;0;0;0;0;0
abr/26;1274;-14,35;0;3,183333333;0;-17,53333333
abr/26;1352;0;21,96666667;4;10,98333333;6,983333333
abr/26;1461;3,908333333;12,61666667;2,2;8,016666667;6,308333333
abr/26;1489;20,5;35,16666667;0;38,08333333;17,58333333
abr/26;1540;-9,541666667;1,183333333;3,6;0,591666667;-12,55
abr/26;1579;0;0;0;0;0
abr/26;1580;31,85833333;0;0;31,85833333;0
abr/26;1842;12,08333333;19,83333333;0;22;9,916666667
abr/26;2113;12,26666667;23,45;0;23,99166667;11,725
abr/26;2133;0;0;0;0;0
abr/26;2240;-0,283333333;0;0;0;-0,283333333
abr/26;2249;20,86666667;32,93333333;0;37,33333333;16,46666667
abr/26;2401;10,725;8,9;6,55;8,625;4,45
abr/26;2406;-6,316666667;0;0;0;-6,316666667
abr/26;2427;5,475;6,433333333;0,3;8,391666667;3,216666667
abr/26;2456;20,425;33,66666667;0;37,25833333;16,83333333
abr/26;2571;0;0;0;0;0
abr/26;2602;-0,25;0;0;0;-0,25
abr/26;2619;-17,46666667;0;6,366666667;0;-23,83333333
abr/26;2649;0;0;0;0;0
abr/26;2662;-4,666666667;1,2;1,266666667;0,6;-5,333333333
abr/26;2687;0;0;0;0;0
abr/26;2693;-23,8;1,183333333;4,766666667;0,591666667;-27,975
abr/26;2697;0;0;0;0;0
abr/26;2704;0;0;0;0;0
abr/26;2731;-8,066666667;0;1,05;0;-9,116666667
abr/26;2733;-0,266666667;0;0;0;-0,266666667
abr/26;2739;-0,8;0;2,066666667;0;-2,866666667
abr/26;2743;0;0;0;0;0
abr/26;2754;0;0;0;0;0
abr/26;2755;0;0;0;0;0
abr/26;2762;-5,425;1,95;9,833333333;0,975;-14,28333333
abr/26;2796;-0,266666667;0,466666667;5,766666667;0,233333333;-5,8
abr/26;2823;-0,383333333;0;0,216666667;0;-0,6
abr/26;2837;-7,725;0;2,616666667;0;-10,34166667
abr/26;2857;19,45833333;25,36666667;0,45;31,69166667;12,68333333
abr/26;2883;20,98333333;38,88333333;1,183333333;39,24166667;19,44166667
abr/26;2926;0;0;0;0;0
abr/26;2931;-5,55;1,683333333;2,95;0,841666667;-7,658333333
abr/26;2975;13,89166667;25,61666667;0;26,7;12,80833333
abr/26;2990;0;0;0;0;0
abr/26;2991;0,141666667;10,23333333;0;5,258333333;5,116666667
abr/26;3005;-12,58333333;0,233333333;7,383333333;0,116666667;-19,85
abr/26;3022;-1,65;0,216666667;0;0,108333333;-1,541666667
abr/26;3037;0;0;0;0;0
abr/26;3038;-9,433333333;0;4,566666667;0;-14
abr/26;3039;-1,85;0;0;0;-1,85
abr/26;3040;-4,85;0;0,6;0;-5,45
abr/26;3106;-17,75833333;0;4,083333333;0;-21,84166667
abr/26;3107;2,266666667;2,783333333;0,95;2,708333333;1,391666667
abr/26;3178;4,925;6,9;0;8,375;3,45
abr/26;3208;7,7;10,01666667;0;12,70833333;5,008333333
abr/26;3233;5,725;7,433333333;0;9,441666667;3,716666667
abr/26;3238;4,858333333;18,65;0,3;13,88333333;9,325
abr/26;3240;-11,34166667;10,66666667;13,83333333;5,333333333;-19,84166667
abr/26;3256;-5,158333333;4,616666667;3,266666667;2,308333333;-6,116666667
abr/26;3261;8,7;14,28333333;0;15,84166667;7,141666667
abr/26;3265;-7,483333333;0;3,75;0;-11,23333333
abr/26;3266;0;0;0,216666667;0;-0,216666667
abr/26;3274;4,808333333;8,783333333;2,666666667;6,533333333;4,391666667
abr/26;3278;0;0;0;0;0
abr/26;3280;27,78333333;37,08333333;0,7;45,625;18,54166667
abr/26;3325;6,716666667;8,5;0,65;10,31666667;4,25
abr/26;3328;-10,325;0,2;9,016666667;0,1;-19,24166667
abr/26;3330;3,541666667;4,883333333;0;5,983333333;2,441666667
abr/26;3345;0;0;0;0;0
abr/26;3346;-5,716666667;0;19,55;0;-25,26666667
abr/26;3351;-9,883333333;1,583333333;5,316666667;0,791666667;-14,40833333
abr/26;3353;0,858333333;11,83333333;1,65;5,916666667;5,125
abr/26;3374;1,491666667;1,866666667;0;2,425;0,933333333
abr/26;3377;-7,566666667;12,26666667;12,4;6,133333333;-13,83333333
abr/26;3385;7,075;24,11666667;0;19,13333333;12,05833333
abr/26;3386;13,55833333;23,05;0;25,08333333;11,525
abr/26;3387;0,908333333;20,78333333;0;11,3;10,39166667
abr/26;3401;8,616666667;13,1;0,233333333;14,93333333;6,55
abr/26;3403;-7,375;14,75;8,216666667;7,375;-8,216666667
abr/26;3405;-7,225;1,616666667;3,933333333;0,808333333;-10,35
abr/26;3409;6,816666667;14,85;1,383333333;12,85833333;7,425
abr/26;3418;-5,65;6,266666667;2,683333333;3,133333333;-5,2
abr/26;3419;0,333333333;8,816666667;0,866666667;4,408333333;3,875
abr/26;3435;-13,14166667;0,216666667;1,766666667;0,108333333;-14,8
abr/26;3441;11,075;20,88333333;0,933333333;20,58333333;10,44166667
abr/26;3443;3,825;0,966666667;0;4,308333333;0,483333333
abr/26;3446;1,425;2,516666667;0,966666667;1,716666667;1,258333333
